year,count
1850,196896032
1851,198804976
1852,207550944
1853,217209248
1854,255138976
1855,260165984
1856,277291520
1857,279889296
1858,284171850
1859,301312559
1860,330642191
1861,347735242
1862,354057462
1863,377859938
1864,407091108
1865,432307789
1866,445970599
1867,477814912
1868,490752496
1869,521130720
1870,532536752
1871,566142960
1872,626371792
1873,665419040
1874,622997248
1875,675799152
1876,685552720
1877,699098528
1878,704381729
1879,754869509
1880,853707188
1881,882407475
1882,931924710
1883,991035684
1884,1002177745
1885,1009674571
1886,1025478884
1887,1076761678
1888,1192276070
1889,1191804432
1890,1298463581
1891,1358879690
1892,1370094534
1893,1353675035
1894,1400864597
1895,1485281339
1896,1533711001
1897,1606310640
1898,1694277167
1899,1850905966
1900,1952224654
1901,2016760928
1902,2067797613
1903,2256077250
1904,2281857535
1905,2429631367
1906,2551869513
1907,2885281242
1908,2776431591
1909,2887083061
1910,3027588864
1911,3082462274
1912,3228332151
1913,3492411249
1914,3168341359
1915,3125088543
1916,3373154069
1917,3527725678
1918,3479185579
1919,3014874203
1920,3507597636
1921,3076038222
1922,3226445037
1923,3661080742
1924,3672399351
1925,3712867713
1926,3645190242
1927,3981432883
1928,3962552527
1929,4255150726
1930,3923058343
1931,3505272053
1932,3159133411
1933,3326453782
1934,3617657544
1935,3796088336
1936,4170573685
1937,4458901333
1938,4195242758
1939,4438143987
1940,4849926545
1941,4959186226
1942,4939724859
1943,5023250640
1944,5105436673
1945,4244738093
1946,4633477283
1947,5130185429
1948,5401115478
1949,5243102933
1950,6003238189
1951,6379755941
1952,6465694232
1953,6647727815
1954,6789936494
1955,7443207067
1956,7924210548
1957,8185523970
1958,8417600054
1959,8856188671
1960,9386933671
1961,9417462637
1962,9750056664
1963,10271524394
1964,10828857574
1965,11317232919
1966,11865861396
1967,12243045540
1968,12909912521
1969,13766570654
1970,14897567094
1971,15498266676
1972,16221152268
1973,17078792097
1974,17009594414
1975,17046497217
1976,17983972847
1977,18494530823
1978,19067767178
1979,19610017729
1980,19492613515
1981,19026910179
1982,18875760275
1983,18998031557
1984,19656716874
1985,20317483523
1986,20619623658
1987,21266194534
1988,22101399490
1989,22406832518
1990,22749574360
1991,23238102148
1992,22569624280
1993,22803495349
1994,22964583359
1995,23453944453
1996,24154961206
1997,24300550431
1998,24206271270
1999,24518962288
2000,25234207250
2001,25451054498
2002,26039191477
2003,27366723291
2004,28627533033
2005,29602777196
2006,30583530081
2007,31493741589
2008,32069444008
2009,31607042410
2010,33343300453
2011,34468451046
2012,34974075146
2013,35283025443
2014,35534442952
2015,35496406339
2016,35452459298
2017,35925737687
2018,36646139785
2019,36702502903
2020,34807259099
